id,Headline,ReportDate,Link,DiseaseLevel1,DiseaseLevel2,Country,HR: Textually explicit activities,HR Notes,MM: Textually explicit activities,MM Notes,Flag for discussion,DONid,RK/CC notes,Master coding,Master coding fixed names
208,Avian influenza - situation in Egypt - update 11,4/17/2009,https://www.who.int/emergencies/disease-outbreak-news/item/2009_04_17-en/,Influenza A,H5N1,Egypt,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care",,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care",,,DON-2009-04-17,,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care","Confirm diagnoses, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Identify agent based on laboratory testing, Initiate epidemiological investigation, Provide clinical care"
209,Influenza A(H1N1) - update 17,5/6/2009,https://www.who.int/emergencies/disease-outbreak-news/item/2009_05_06-en/,Influenza A,H1N1,Global,,Couldn't access this one,,"Cannot access this DONS ""This page cannot be found""",,DON-2009-05-06-a,,,
210,Influenza A(H1N1) - update 19,5/7/2009,https://www.who.int/emergencies/disease-outbreak-news/item/2009_05_07-en/,Influenza A,H1N1,Global,,Couldn't access this one,,"Cannot access this DONS ""This page cannot be found""",,DON-2009-05-07-a,,,
211,Influenza A(H1N1) - update 29,5/15/2009,https://www.who.int/emergencies/disease-outbreak-news/item/2009_05_15-en/,Influenza A,H1N1,Global,"Confirm diagnoses,Count cases,Count deaths,Identify agent based on laboratory testing",,"Confirm diagnoses,Count cases,Count deaths,Identify agent based on laboratory testing","Coded in DONs as global - but actions are country specific. Should there be lines for each country? Would global coding for this only be the WHO actions?

Does ""officially reported"" mean reported to WOAH/WOAH?",checked,DON-2009-05-15-a,,"Confirm diagnoses,Count cases,Count deaths,Identify agent based on laboratory testing","Confirm diagnoses, Count cases, Count deaths, Identify agent based on laboratory testing"
212,Avian influenza - situation in Egypt - update 15,5/15/2009,https://www.who.int/emergencies/disease-outbreak-news/item/2009_05_15a-en/,Influenza A,H5N1,Egypt,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care",,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care",,,DON-2009-05-15-b,,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care","Confirm diagnoses, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Identify agent based on laboratory testing, Initiate epidemiological investigation, Provide clinical care"
213,Influenza A(H1N1) - update 35,5/21/2009,https://www.who.int/emergencies/disease-outbreak-news/item/2009_05_21-en/,Influenza A,H1N1,Global,"Count cases,Count deaths,Identify agent based on laboratory testing","Provides a  map of the spread with confirmed cases / deaths -- descriptive analysis? 

This one makes sense as global
","Count cases,Count deaths,Identify agent based on laboratory testing",,,DON-2009-05-21,,"Count cases,Count deaths,Identify agent based on laboratory testing","Count cases, Count deaths, Identify agent based on laboratory testing"
214,Influenza A(H1N1) - update 37,5/23/2009,https://www.who.int/emergencies/disease-outbreak-news/item/2009_05_23-en/,Influenza A,H1N1,Global,"Count cases,Count deaths,Identify agent based on laboratory testing","Provides a  map of the spread with confirmed cases / deaths -- descriptive analysis? 

This one makes sense as global
","Count cases,Count deaths,Identify agent based on laboratory testing",,,DON-2009-05-23,,"Count cases,Count deaths,Identify agent based on laboratory testing","Count cases, Count deaths, Identify agent based on laboratory testing"
215,Avian influenza - situation in Egypt - update 19,6/2/2009,https://www.who.int/emergencies/disease-outbreak-news/item/2009_06_02-en/,Influenza A,H5N1,Egypt,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care",,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care",,,DON-2009-06-02,,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care","Confirm diagnoses, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Identify agent based on laboratory testing, Initiate epidemiological investigation, Provide clinical care"
216,Pandemic (H1N1) 2009 - update 69,10/9/2009,https://www.who.int/emergencies/disease-outbreak-news/item/2009_10_09-en/,Influenza A,H1N1,Global,"Collect data on population impacts,Collect data to assess magnitude and nature of the event,""Collect, manage, and share surveillance data across sectors"",Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Genetically sequence samples,Identify agent based on laboratory testing,Integrate and analyze surveillance data,Manage and coordinate data collection and reporting,Publish and share data,""Test for antiviral, antibiotic, and/or vaccine resistance"",WHO/WOAH notification","Notes that countries have stopped counting individual cases -- but provides a case count, so it's a little weird to tag ""count cases""


""Systematic surveillance conducted by the Global Influenza Surveillance Network (GISN), supported by WHO Collaborating Centres and other laboratories, continues to detect sporadic incidents of H1N1 "" = coordinate response with international partners","Collect data on population impacts,Collect data to assess magnitude and nature of the event,""Collect, manage, and share surveillance data across sectors"",Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Genetically sequence samples,Identify agent based on laboratory testing,Integrate and analyze surveillance data,Manage and coordinate data collection and reporting,Publish and share data,""Test for antiviral, antibiotic, and/or vaccine resistance"",WHO/WOAH notification",,checked,DON-2009-10-09,,"Collect data on population impacts,Collect data to assess magnitude and nature of the event,""Collect, manage, and share surveillance data across sectors"",Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Genetically sequence samples,Identify agent based on laboratory testing,Integrate and analyze surveillance data,Manage and coordinate data collection and reporting,Publish and share data,""Test for antiviral, antibiotic, and/or vaccine resistance"",WHO/WOAH notification","Collect data on population impacts, Collect data to assess magnitude and nature of the event, Collect/manage/share surveillance data across sectors, Complete descriptive analysis of outbreak, Conduct disease surveillance, Confirm diagnoses, Coordinate response with international partners, Count cases, Count deaths, Genetically sequence samples, Identify agent based on laboratory testing, Integrate and analyze surveillance data, Manage and coordinate data collection and reporting, Publish and share data, Test for antiviral/antibiotic/vaccine resistance, WHO/WOAH notification"
217,Yellow Fever in the Central African Republic,12/1/2009,https://www.who.int/emergencies/disease-outbreak-news/item/2009_12_01-en/,Yellow fever,,Central African Republic,"Collect biological and environmental samples,Collect case patient information,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Diagnose cases,Form differential diagnosis,Identify agent based on laboratory testing,Identify and interview initial case(s),Initiate epidemiological investigation,Initiate immunization campaign,Procure and transport medical countermeasures (MCMs),Provide clinical care,Provide medical countermeasures (MCMs),Transport samples domestically,Transport samples internationally","""The index case was reported in the Sub-Prefecture of Yaloké-Bossembelle. He was an 18-year-old man, a cattle breeder"" = collect case patient info; identify and interview initial cases

""All these serum samples were sent to the Institute Pasteur of Bangui for investigation"" = transport samples domestically

""Other haemorrhagic fevers were excluded by specific tests. "" = form differential diagnosis

""During the outbreak investigation conducted by the Ministry of Health, serum samples were collected from 80 of ""contacts"" of the cases. "" = collect biological and environmental samples

""Emergency mass vaccination against yellow fever is planned for a population of 327,877 in affected regions for early December 2009. Vaccines have been provided from the global emergency vaccine stockpile, managed by the International Coordinating Group for Yellow Fever Vaccine Provision (YF-ICG) with funding from the GAVI Alliance."" = initiate immunization campaign; provide MCMs","Collect biological and environmental samples,Collect case patient information,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Diagnose cases,Form differential diagnosis,Identify agent based on laboratory testing,Identify and interview initial case(s),Initiate epidemiological investigation,Initiate immunization campaign,Procure and transport medical countermeasures (MCMs),Provide clinical care,Provide medical countermeasures (MCMs),Transport samples domestically,Transport samples internationally","Provide funding/financing: ""Vaccines have been provided from the global emergency vaccine stockpile, managed by the International Coordinating Group for Yellow Fever Vaccine Provision (YF-ICG) with funding from the GAVI Alliance. ""

Diagnose cases: ""the Central African Republic reported four suspected cases of yellow fever""

Again, implication of international transport of samples to reference lab, but not explicit ",checked,DON-2009-12-01,"CC: I think no on funding, and yes on diagnose 

RK: ok.  lets clarify in the google doc what we mean by provide funding.   This is definitely international cooperation and GAVI doing its part. But not really financing for the response.  So I would go with no on funding

","Collect biological and environmental samples,Collect case patient information,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Diagnose cases,Form differential diagnosis,Identify agent based on laboratory testing,Identify and interview initial case(s),Initiate epidemiological investigation,Initiate immunization campaign,Procure and transport medical countermeasures (MCMs),Provide clinical care,Provide medical countermeasures (MCMs),Transport samples domestically,Transport samples internationally","Collect biological and environmental samples, Collect case patient information, Conduct disease surveillance, Confirm diagnoses, Coordinate response with international partners, Count cases, Count deaths, Diagnose cases, Form differential diagnosis, Identify agent based on laboratory testing, Identify and interview initial case(s), Initiate epidemiological investigation, Initiate immunization campaign, Procure and transport medical countermeasures (MCMs), Provide clinical care, Provide medical countermeasures (MCMs), Transport samples domestically, Transport samples internationally"
218,Pandemic (H1N1) 2009 - update 82,1/8/2010,https://www.who.int/emergencies/disease-outbreak-news/item/2010_01_08-en/,Influenza A,H1N1,Global,,Couldn't access this one,,"Cannot access this DONS ""This page cannot be found""",,DON-2010-01-08-a,,,
219,Pandemic (H1N1) 2009 - update 105,6/18/2010,https://www.who.int/emergencies/disease-outbreak-news/item/2010_06_18-en/,Influenza A,H1N1,Global,"Collect data on population impacts,Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Count deaths,Identify agent based on laboratory testing,Integrate and analyze surveillance data,Manage and coordinate data collection and reporting",describes pandemic trends and healthcare impact; posts WHO clinical management guidelines; integrates FluNet data,"Collect data on population impacts,Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Count deaths,Identify agent based on laboratory testing,Integrate and analyze surveillance data,Manage and coordinate data collection and reporting",,,DON-2010-06-18,,"Collect data on population impacts,Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Count deaths,Identify agent based on laboratory testing,Integrate and analyze surveillance data,Manage and coordinate data collection and reporting","Collect data on population impacts, Complete descriptive analysis of outbreak, Conduct disease surveillance, Confirm diagnoses, Count deaths, Identify agent based on laboratory testing, Integrate and analyze surveillance data, Manage and coordinate data collection and reporting"
220,Suspected Acute Haemorrhagic Fever in the Republic of the Congo update,7/2/2010,https://www.who.int/emergencies/disease-outbreak-news/item/2010_07_02a-en/,Syndromic: haemorrhagic,,Republic of the Congo,"Collect biological and environmental samples,Conduct disease surveillance,Coordinate response with international partners,Empower community to make decisions and implement and manage change,Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Monitor and manage suspected cases,Perform active case finding,Perform contact tracing activities","Didn't actually identify agent (diagnose?) but DID perform lab testing (negative tests) at an intl. lab (but doesn't talk about transport)

","Collect biological and environmental samples,Conduct disease surveillance,Coordinate response with international partners,Empower community to make decisions and implement and manage change,Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Monitor and manage suspected cases,Perform active case finding,Perform contact tracing activities",,,DON-2010-07-02-b,,"Collect biological and environmental samples,Conduct disease surveillance,Coordinate response with international partners,Empower community to make decisions and implement and manage change,Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Monitor and manage suspected cases,Perform active case finding,Perform contact tracing activities","Collect biological and environmental samples, Conduct disease surveillance, Coordinate response with international partners, Empower community to make decisions and implement and manage change, Identify agent based on laboratory testing, Implement infection prevention and control (IPC) measures, Monitor and manage suspected cases, Perform active case finding, Perform contact tracing activities"
221,Cholera in Haiti - update,10/28/2010,https://www.who.int/emergencies/disease-outbreak-news/item/2010_10_28-en/,Cholera,,Haiti,"Collect biological and environmental samples,Collect data to assess magnitude and nature of the event,Conduct and assess statistical analysis,Conduct disease surveillance,Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Genetically sequence samples,Identify agent based on laboratory testing,Manage supply chain for consumable medical equipment,Procure and transport medical countermeasures (MCMs),Provide funding and/or financing,Provide technical assistance,""Test for antiviral, antibiotic, and/or vaccine resistance""","PAHO/WHO response = international partners

""PAHO continues to mobilize international experts in the areas of epidemiology, risk communication, case management, laboratory, water and sanitation, logistics, and LSS/SUMA (humanitarian supply management system) to Haiti and also to the Dominican Republic."" = initiate medical response; manage supply chain

"" Additional medical supplies including 50, 000 intravenous fluids (Ringer’s Lactate), and 10 diarrhoeal disease treatment kits sufficient to treat 400-500 severe cholera cases have been purchased with funding from the international corporation, expected to arrive shortly in Haiti."" = manage supply chain for consumables","Collect biological and environmental samples,Collect data to assess magnitude and nature of the event,Conduct and assess statistical analysis,Conduct disease surveillance,Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Genetically sequence samples,Identify agent based on laboratory testing,Manage supply chain for consumable medical equipment,Procure and transport medical countermeasures (MCMs),Provide funding and/or financing,Provide technical assistance,""Test for antiviral, antibiotic, and/or vaccine resistance""","Procure and transport MCMs: ""Additional medical supplies including 50, 000 intravenous fluids (Ringer’s Lactate), and 10 diarrhoeal disease treatment kits sufficient to treat 400-500 severe cholera cases have been purchased with funding from the international corporation, expected to arrive shortly in Haiti.""

Initiate medical response: ""Priorities of the Government of Haiti's National Response Strategy to the Cholera Epidemic are to protect families at the community level, to strengthen primary health care centers already operating across the nation, and to establish a network of Cholera Treatment Centers and designated hospitals for treatment of severe cases.""

Provide technical assistance: ""PAHO continues to mobilize international experts""

Conduct disease surveillance: ""PAHO and US CDC experts are working together on improved surveillance and reporting of cases""

Provide technical assistance: ""PAHO continues to mobilize international experts in the areas of epidemiology, risk communication, case management, laboratory, water and sanitation, logistics, and LSS/SUMA (humanitarian supply management system) to Haiti and also to the Dominican Republic.""

How to capture providing versus requesting assistance? Actor dependent ",checked,DON-2010-10-28,"CC: No on reporting lines. Yes on others

RK: agree","Collect biological and environmental samples,Collect data to assess magnitude and nature of the event,Conduct and assess statistical analysis,Conduct disease surveillance,Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Genetically sequence samples,Identify agent based on laboratory testing,Manage supply chain for consumable medical equipment,Procure and transport medical countermeasures (MCMs),Provide funding and/or financing,Provide technical assistance,""Test for antiviral, antibiotic, and/or vaccine resistance""","Collect biological and environmental samples, Collect data to assess magnitude and nature of the event, Conduct and assess statistical analysis, Conduct disease surveillance, Confirm diagnoses, Coordinate national response across sectors, Coordinate response with international partners, Count cases, Count deaths, Genetically sequence samples, Identify agent based on laboratory testing, Manage supply chain for consumable medical equipment, Procure and transport medical countermeasures (MCMs), Provide funding and/or financing, Provide technical assistance, Test for antiviral/antibiotic/vaccine resistance"
222,Avian influenza - situation in Indonesia - update 2,3/25/2011,https://www.who.int/emergencies/disease-outbreak-news/item/2011_03_25-en/,Influenza A,H5N1,Indonesia,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care",,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care",,,DON-2011-03-25,,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care","Confirm diagnoses, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Identify agent based on laboratory testing, Initiate epidemiological investigation, Provide clinical care"
223,Avian influenza - situation in Egypt - update,1/19/2012,https://www.who.int/emergencies/disease-outbreak-news/item/2012_01_19b-en/,Influenza A,H5N1,Egypt,"Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Diagnose cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care,Transport samples domestically,WHO/WOAH notification",,"Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Diagnose cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care,Transport samples domestically,WHO/WOAH notification",,,DON-2012-01-19-b,,"Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Diagnose cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care,Transport samples domestically,WHO/WOAH notification","Collect biological and environmental samples, Conduct disease surveillance, Confirm diagnoses, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Diagnose cases, Identify agent based on laboratory testing, Initiate epidemiological investigation, Provide clinical care, Transport samples domestically, WHO/WOAH notification"
224,Avian influenza - situation in Egypt - update,2/24/2012,https://www.who.int/emergencies/disease-outbreak-news/item/2012_02_24-en/,Influenza A,H5N1,Egypt,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Diagnose cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care,WHO/WOAH notification",,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Diagnose cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care,WHO/WOAH notification",,,DON-2012-02-24,,"Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Diagnose cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care,WHO/WOAH notification","Confirm diagnoses, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Diagnose cases, Identify agent based on laboratory testing, Initiate epidemiological investigation, Provide clinical care, WHO/WOAH notification"
225,Ebola in Uganda - update,8/17/2012,https://www.who.int/emergencies/disease-outbreak-news/item/2012_08_17-en/,Ebola virus,,Uganda,"Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Empower community to make decisions and implement and manage change,Engage in ongoing dialogue with community,Engage the media,Identify agent based on laboratory testing,Identify infrastructure for isolation and quarantine facilities,Initiate epidemiological investigation,Initiate medical response,Mobilize and train volunteers,Monitor and manage suspected cases,Perform contact tracing activities,Plan systematic study,Provide clinical care,Share information and key messages with the public,Staff isolation facilities,Train workforce on infection prevention & control (IPC) guidelines","""To date, 24 probable and confirmed cases including 16 deaths have been reported."" = count cases

""The Ministry of Health of Uganda (MoH) continues to work with partners to control the outbreak of Ebola haemorrhagic fever in Kibaale district. The national and district task forces also meet daily to coordinate the response to the outbreak. "" = coordinate with international parters; create inter-agency task force

""With the support of WHO and other partners, the Ministry of Health has established and equipped an isolation facility at Mulago National referral hospital in Kampala, Uganda in anticipation of receiving suspected cases from other districts, should they occur."" = identify infastructure; initiate medical response","Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Diagnose cases,Empower community to make decisions and implement and manage change,Engage in ongoing dialogue with community,Engage the media,Identify agent based on laboratory testing,Identify infrastructure for isolation and quarantine facilities,Initiate epidemiological investigation,Initiate medical response,Mobilize and train volunteers,Monitor and manage suspected cases,Perform contact tracing activities,Plan systematic study,Provide clinical care,Share information and key messages with the public,""Staff clinics, hospitals, and community health centers"",Staff isolation facilities,Train workforce on infection prevention & control (IPC) guidelines","Count cases; diagnose cases; count deaths: """"To date, 24 probable and confirmed cases including 16 deaths have been reported.""

Better capture language around isolation facilities",checked,DON-2012-08-17-a,"CC: sure
RK: +1","Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Diagnose cases,Empower community to make decisions and implement and manage change,Engage in ongoing dialogue with community,Engage the media,Identify agent based on laboratory testing,Identify infrastructure for isolation and quarantine facilities,Initiate epidemiological investigation,Initiate medical response,Mobilize and train volunteers,Monitor and manage suspected cases,Perform contact tracing activities,Plan systematic study,Provide clinical care,Share information and key messages with the public,""Staff clinics, hospitals, and community health centers"",Staff isolation facilities,Train workforce on infection prevention & control (IPC) guidelines","Confirm diagnoses, Coordinate national response across sectors, Coordinate response with international partners, Count cases, Count deaths, Create inter-agency coordinating committee, Diagnose cases, Empower community to make decisions and implement and manage change, Engage in ongoing dialogue with community, Engage the media, Identify agent based on laboratory testing, Identify infrastructure for isolation and quarantine facilities, Initiate epidemiological investigation, Initiate medical response, Mobilize and train volunteers, Monitor and manage suspected cases, Perform contact tracing activities, Plan systematic study, Provide clinical care, Share information and key messages with the public, Staff clinics/hospital/community health centers, Staff isolation facilities, Train workforce on infection prevention & control (IPC) guidelines"
226,"Hantavirus pulmonary syndrome - Yosemite National Park, United States of America",9/4/2012,https://www.who.int/emergencies/disease-outbreak-news/item/2012_09_04-en/,Hantavirus,HPS,United States of America,"Complete descriptive analysis of outbreak,Coordinate national response across sectors,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Establish public hotline or call center,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,""Maintain sanitation of facilities, buildings, vehicles and equipment"",Perform active case finding,Perform contact tracing activities,Share information and key messages with the public,""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""","""NPS is working with the Centers for Disease Control and Prevention (CDC) and the California Department of Public Health to detect additional cases "" AND ""n extensive national and international outreach effort is underway by Yosemite National Park and the park concessioner to contact visitors who stayed in the ""Signature Tent Cabins"" at Yosemite's Curry Village since mid-June.""  = active case finding

","Complete descriptive analysis of outbreak,Coordinate national response across sectors,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Establish public hotline or call center,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,""Maintain sanitation of facilities, buildings, vehicles and equipment"",Perform active case finding,Perform contact tracing activities,Share information and key messages with the public,""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",,,DON-2012-09-04,,"Complete descriptive analysis of outbreak,Coordinate national response across sectors,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Establish public hotline or call center,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,""Maintain sanitation of facilities, buildings, vehicles and equipment"",Perform active case finding,Perform contact tracing activities,Share information and key messages with the public,""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""","Complete descriptive analysis of outbreak, Coordinate national response across sectors, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Establish public hotline or call center, Implement infection prevention and control (IPC) measures, Initiate epidemiological investigation, Maintain sanitation of facilities/buildings/vehicles/equipment, Perform active case finding, Perform contact tracing activities, Share information and key messages with the public, Surveillance and tracing of potentially infected or exposed domestic animals/livestock/wildlife"
227,Ebola outbreak in Democratic Republic of Congo - update,9/18/2012,https://www.who.int/emergencies/disease-outbreak-news/item/2012_09_18-en/,Ebola virus,,Democratic Republic of the Congo,,Couldn't access this one,,"Cannot access this DONS ""This page cannot be found""",,DON-2012-09-18-a,,,
228,Ebola outbreak in Democratic Republic of Congo - update,9/27/2012,https://www.who.int/emergencies/disease-outbreak-news/item/2012_09_27-en/,Ebola virus,,Democratic Republic of the Congo,"Conduct anthropological assessment,Conduct disease surveillance,Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Determine mode of transmission,Diagnose cases,Engage the media,Identify agent based on laboratory testing,Identify population's main information needs and best channels to reach,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,Monitor and manage suspected cases,Provide mental health and counseling services,Provide technical assistance,Share information and key messages with the public,Train community on surveillance and/or contact tracing,Train workforce in clinical care and case management practices,Train workforce in epidemic intelligence,Train workforce on infection prevention & control (IPC) guidelines","""As of 24 September 2012, 51 cases (19 laboratory confirmed, 32 probable) "" = confirm diagnoses

""The Ministry of Health (MoH) continues to work with partners, under the National Task Force which includes: WHO; Médecins Sans Frontières (MSF); the International Federation of Red Cross and Red Crescent Societies (IFRC); US Agency for International Development (USAID); US Centers for Disease Control and Prevention (CDC); and the United Nations Children’s Fund (UNICEF)"" = coordinate international response AND interagency coordianting committee AND determine transmission

""WHO and the Global Outbreak Alert and Response Network (GOARN) have deployed experts to support operational response. Technical support has been further strengthened with an infection prevention and control expert to assist in preventing disease transmission in health care and community settings. "" = provide technical support","Conduct anthropological assessment,Conduct disease surveillance,Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Determine mode of transmission,Diagnose cases,Engage the media,Identify agent based on laboratory testing,Identify population's main information needs and best channels to reach,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,Monitor and manage suspected cases,Provide mental health and counseling services,Provide technical assistance,Share information and key messages with the public,Train community on surveillance and/or contact tracing,Train workforce in clinical care and case management practices,Train workforce in epidemic intelligence,Train workforce on infection prevention & control (IPC) guidelines","Identify agent based on lab testing: ""laboratory confirmed...with Ebola""

Very thorough DONs

Training GOAL language is very inconsistent, needs to be revisisted",checked,DON-2012-09-27,"CC: easy yes
RK: +1","Conduct anthropological assessment,Conduct disease surveillance,Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Determine mode of transmission,Diagnose cases,Engage the media,Identify agent based on laboratory testing,Identify population's main information needs and best channels to reach,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,Monitor and manage suspected cases,Provide mental health and counseling services,Provide technical assistance,Share information and key messages with the public,Train community on surveillance and/or contact tracing,Train workforce in clinical care and case management practices,Train workforce in epidemic intelligence,Train workforce on infection prevention & control (IPC) guidelines","Conduct anthropological assessment, Conduct disease surveillance, Confirm diagnoses, Coordinate national response across sectors, Coordinate response with international partners, Count cases, Count deaths, Create inter-agency coordinating committee, Determine mode of transmission, Diagnose cases, Engage the media, Identify agent based on laboratory testing, Identify main information needs of population and best channels to reach, Implement infection prevention and control (IPC) measures, Initiate epidemiological investigation, Monitor and manage suspected cases, Provide mental health and counseling services, Provide technical assistance, Share information and key messages with the public, Train community on surveillance and/or contact tracing, Train workforce in clinical care and case management practices, Train workforce in epidemic intelligence, Train workforce on infection prevention & control (IPC) guidelines"
229,Cholera in Sierra Leone - update,10/8/2012,https://www.who.int/emergencies/disease-outbreak-news/item/2012_10_08-en/,Cholera,,Sierra Leone,,Couldn't access this one,,"Cannot access this DONS ""This page cannot be found""",,DON-2012-10-08-a,,,
