,Act1,Act2,counts
4868,Identify and share relevant legislation and regulations across sectors,Declare outbreak nationally,0.0
4869,Identify and share relevant legislation and regulations across sectors,Establish sample collection and transport protocols,0.0
4870,Identify and share relevant legislation and regulations across sectors,Coordinate response with international partners,0.0
4871,Identify and share relevant legislation and regulations across sectors,Ensure power is available for humanitarian response activities,0.0
4872,Identify and share relevant legislation and regulations across sectors,Remove implicated foods from market,0.0
4873,Identify and share relevant legislation and regulations across sectors,Train workforce on infection prevention & control (IPC) guidelines,0.0
4874,Identify and share relevant legislation and regulations across sectors,Establish public hotline or call center,0.0
4875,Identify and share relevant legislation and regulations across sectors,Engage the media,0.0
4876,Identify and share relevant legislation and regulations across sectors,Develop plan for the safe disposal of waste,0.0
4877,Identify and share relevant legislation and regulations across sectors,Provide funding and/or financing,0.0
4878,Identify and share relevant legislation and regulations across sectors,Train workforce in epidemic intelligence,0.0
4879,Identify and share relevant legislation and regulations across sectors,Manage clinical data,0.0
4880,Identify and share relevant legislation and regulations across sectors,Train contact tracers,0.0
4881,Identify and share relevant legislation and regulations across sectors,Train community on surveillance and/or contact tracing,0.0
4882,Identify and share relevant legislation and regulations across sectors,Identify reporting lines,0.0
4883,Identify and share relevant legislation and regulations across sectors,Complete public health needs assessment,0.0
4884,Identify and share relevant legislation and regulations across sectors,Document and communicate the results of epidemiological investigation,0.0
4885,Identify and share relevant legislation and regulations across sectors,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
4886,Identify and share relevant legislation and regulations across sectors,Activate emergency operations center (EOC),0.0
4887,Identify and share relevant legislation and regulations across sectors,Provide clean water,0.0
4888,Identify and share relevant legislation and regulations across sectors,Provide mental health and counseling services,0.0
4889,Identify and share relevant legislation and regulations across sectors,Deactivate emergency operations center (EOC),0.0
4890,Identify and share relevant legislation and regulations across sectors,Notification of International Health Regulation (IHR) event,0.0
4891,Identify and share relevant legislation and regulations across sectors,Engage in ongoing dialogue with community,0.0
4892,Identify and share relevant legislation and regulations across sectors,Identify at risk population,0.0
4893,Identify and share relevant legislation and regulations across sectors,Integrate and analyze surveillance data,0.0
4894,Identify and share relevant legislation and regulations across sectors,Consider issuing trade restrictions,0.0
4895,Identify and share relevant legislation and regulations across sectors,Staff isolation facilities,0.0
4896,Identify and share relevant legislation and regulations across sectors,Confirm diagnoses,1.0
4897,Identify and share relevant legislation and regulations across sectors,Genetically sequence samples,0.0
4898,Identify and share relevant legislation and regulations across sectors,Compensate impacted populations,0.0
4899,Identify and share relevant legislation and regulations across sectors,Develop SOPs for burials,0.0
4900,Identify and share relevant legislation and regulations across sectors,Perform contact tracing activities,0.0
4901,Identify and share relevant legislation and regulations across sectors,Identify vulnerable populations,0.0
4902,Identify and share relevant legislation and regulations across sectors,Form differential diagnosis,0.0
4903,Identify and share relevant legislation and regulations across sectors,Assessment of surveillance systems,0.0
4904,Identify and share relevant legislation and regulations across sectors,Provide shelter for displaced populations,0.0
4905,Identify and share relevant legislation and regulations across sectors,"""Dispose of animal carcasses, litter, and animal products""",0.0
4906,Identify and share relevant legislation and regulations across sectors,Manage supply chain for consumable medical equipment,0.0
4907,Identify and share relevant legislation and regulations across sectors,Mobilize and train volunteers,0.0
4908,Identify and share relevant legislation and regulations across sectors,Determine mode of transmission,0.0
4909,Identify and share relevant legislation and regulations across sectors,Plan systematic study,0.0
4910,Identify and share relevant legislation and regulations across sectors,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
4911,Identify and share relevant legislation and regulations across sectors,Coordinate with security sector and law enforcement,0.0
4912,Identify and share relevant legislation and regulations across sectors,Initiate attribution investigation,0.0
4913,Identify and share relevant legislation and regulations across sectors,Acquire road transportation vehicles,0.0
4914,Identify and share relevant legislation and regulations across sectors,Carry out screening/testing activities,0.0
4915,Identify and share relevant legislation and regulations across sectors,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
4916,Identify and share relevant legislation and regulations across sectors,Procure diagnostics and laboratory testing material,0.0
4917,Identify and share relevant legislation and regulations across sectors,Transport samples domestically,0.0
4918,Identify and share relevant legislation and regulations across sectors,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
4919,Identify and share relevant legislation and regulations across sectors,Share information and key messages with the public,1.0
4920,Identify and share relevant legislation and regulations across sectors,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
4921,Identify and share relevant legislation and regulations across sectors,Monitor and manage suspected cases,1.0
4922,Identify and share relevant legislation and regulations across sectors,Collect and manage data on security-related threats and events,0.0
4923,Identify and share relevant legislation and regulations across sectors,Share genetic sequence data with international community,0.0
4924,Identify and share relevant legislation and regulations across sectors,Conduct risk assessment,1.0
4925,Identify and share relevant legislation and regulations across sectors,Promote good hygiene practices,0.0
4926,Identify and share relevant legislation and regulations across sectors,Count deaths,0.0
4927,Identify and share relevant legislation and regulations across sectors,Transport or evacuate patients,0.0
4928,Identify and share relevant legislation and regulations across sectors,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
4929,Identify and share relevant legislation and regulations across sectors,Develop or update instruments governing public health surveillance and response,0.0
4930,Identify and share relevant legislation and regulations across sectors,Explore fundraising options,0.0
4931,Identify and share relevant legislation and regulations across sectors,Develop hypothesis to explain specific exposure that caused disease,0.0
4932,Identify and share relevant legislation and regulations across sectors,Consider enforcing physical distancing measures of infectious patients,0.0
4933,Identify and share relevant legislation and regulations across sectors,Perform active case finding,0.0
4934,Identify and share relevant legislation and regulations across sectors,Initiate immunization campaign,0.0
4935,Identify and share relevant legislation and regulations across sectors,Conduct and assess statistical analysis,0.0
4936,Identify and share relevant legislation and regulations across sectors,Identify and train local spokespersons,0.0
4937,Identify and share relevant legislation and regulations across sectors,Determine the existence of an outbreak,0.0
4938,Identify and share relevant legislation and regulations across sectors,Empower community to make decisions and implement and manage change,0.0
4939,Identify and share relevant legislation and regulations across sectors,Integrate humanitarian risk and public health data,0.0
4940,Identify and share relevant legislation and regulations across sectors,Assess impacts to local banks and economic systems,0.0
4941,Identify and share relevant legislation and regulations across sectors,Collect case patient information,0.0
4942,Identify and share relevant legislation and regulations across sectors,Provide medical countermeasures (MCMs),0.0
4943,Identify and share relevant legislation and regulations across sectors,Publish and share data,0.0
4944,Identify and share relevant legislation and regulations across sectors,Humanely destroy all infected and exposed animals,0.0
4945,Identify and share relevant legislation and regulations across sectors,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",0.0
4946,Identify and share relevant legislation and regulations across sectors,Identify agent based on laboratory testing,1.0
4947,Identify and share relevant legislation and regulations across sectors,Initiate medical response,0.0
4948,Identify and share relevant legislation and regulations across sectors,Diagnose cases,1.0
4949,Identify and share relevant legislation and regulations across sectors,Manage potential clashes in national policy,0.0
4950,Implement infection prevention and control (IPC) measures,Identify infrastructure for isolation and quarantine facilities,0.0
4951,Implement infection prevention and control (IPC) measures,Transport samples internationally,0.0
4952,Implement infection prevention and control (IPC) measures,Manage emergency operations center (EOC) operations,1.0
4953,Implement infection prevention and control (IPC) measures,Create inter-agency coordinating committee,5.0
4954,Implement infection prevention and control (IPC) measures,Collect vaccination data,0.0
4955,Implement infection prevention and control (IPC) measures,Declare outbreak nationally,1.0
4956,Implement infection prevention and control (IPC) measures,Establish sample collection and transport protocols,1.0
4957,Implement infection prevention and control (IPC) measures,Coordinate response with international partners,15.0
4958,Implement infection prevention and control (IPC) measures,Ensure power is available for humanitarian response activities,0.0
4959,Implement infection prevention and control (IPC) measures,Remove implicated foods from market,2.0
4960,Implement infection prevention and control (IPC) measures,Train workforce on infection prevention & control (IPC) guidelines,2.0
4961,Implement infection prevention and control (IPC) measures,Establish public hotline or call center,1.0
4962,Implement infection prevention and control (IPC) measures,Engage the media,1.0
4963,Implement infection prevention and control (IPC) measures,Develop plan for the safe disposal of waste,1.0
4964,Implement infection prevention and control (IPC) measures,Provide funding and/or financing,1.0
4965,Implement infection prevention and control (IPC) measures,Train workforce in epidemic intelligence,1.0
4966,Implement infection prevention and control (IPC) measures,Manage clinical data,1.0
4967,Implement infection prevention and control (IPC) measures,Train contact tracers,1.0
4968,Implement infection prevention and control (IPC) measures,Train community on surveillance and/or contact tracing,1.0
4969,Implement infection prevention and control (IPC) measures,Identify reporting lines,0.0
4970,Implement infection prevention and control (IPC) measures,Complete public health needs assessment,1.0
4971,Implement infection prevention and control (IPC) measures,Document and communicate the results of epidemiological investigation,0.0
4972,Implement infection prevention and control (IPC) measures,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",1.0
4973,Implement infection prevention and control (IPC) measures,Activate emergency operations center (EOC),1.0
4974,Implement infection prevention and control (IPC) measures,Provide clean water,3.0
4975,Implement infection prevention and control (IPC) measures,Provide mental health and counseling services,1.0
4976,Implement infection prevention and control (IPC) measures,Deactivate emergency operations center (EOC),0.0
4977,Implement infection prevention and control (IPC) measures,Notification of International Health Regulation (IHR) event,2.0
4978,Implement infection prevention and control (IPC) measures,Engage in ongoing dialogue with community,1.0
4979,Implement infection prevention and control (IPC) measures,Identify at risk population,1.0
4980,Implement infection prevention and control (IPC) measures,Integrate and analyze surveillance data,2.0
4981,Implement infection prevention and control (IPC) measures,Consider issuing trade restrictions,0.0
4982,Implement infection prevention and control (IPC) measures,Staff isolation facilities,0.0
4983,Implement infection prevention and control (IPC) measures,Confirm diagnoses,16.0
4984,Implement infection prevention and control (IPC) measures,Genetically sequence samples,0.0
4985,Implement infection prevention and control (IPC) measures,Compensate impacted populations,0.0
4986,Implement infection prevention and control (IPC) measures,Develop SOPs for burials,1.0
4987,Implement infection prevention and control (IPC) measures,Perform contact tracing activities,13.0
4988,Implement infection prevention and control (IPC) measures,Identify vulnerable populations,0.0
4989,Implement infection prevention and control (IPC) measures,Form differential diagnosis,2.0
4990,Implement infection prevention and control (IPC) measures,Assessment of surveillance systems,0.0
4991,Implement infection prevention and control (IPC) measures,Provide shelter for displaced populations,0.0
4992,Implement infection prevention and control (IPC) measures,"""Dispose of animal carcasses, litter, and animal products""",0.0
4993,Implement infection prevention and control (IPC) measures,Manage supply chain for consumable medical equipment,0.0
4994,Implement infection prevention and control (IPC) measures,Mobilize and train volunteers,0.0
4995,Implement infection prevention and control (IPC) measures,Determine mode of transmission,2.0
4996,Implement infection prevention and control (IPC) measures,Plan systematic study,1.0
4997,Implement infection prevention and control (IPC) measures,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
4998,Implement infection prevention and control (IPC) measures,Coordinate with security sector and law enforcement,0.0
4999,Implement infection prevention and control (IPC) measures,Initiate attribution investigation,1.0
5000,Implement infection prevention and control (IPC) measures,Acquire road transportation vehicles,1.0
5001,Implement infection prevention and control (IPC) measures,Carry out screening/testing activities,1.0
5002,Implement infection prevention and control (IPC) measures,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
5003,Implement infection prevention and control (IPC) measures,Procure diagnostics and laboratory testing material,0.0
5004,Implement infection prevention and control (IPC) measures,Transport samples domestically,0.0
5005,Implement infection prevention and control (IPC) measures,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",1.0
5006,Implement infection prevention and control (IPC) measures,Share information and key messages with the public,10.0
5007,Implement infection prevention and control (IPC) measures,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
5008,Implement infection prevention and control (IPC) measures,Monitor and manage suspected cases,8.0
5009,Implement infection prevention and control (IPC) measures,Collect and manage data on security-related threats and events,0.0
5010,Implement infection prevention and control (IPC) measures,Share genetic sequence data with international community,0.0
5011,Implement infection prevention and control (IPC) measures,Conduct risk assessment,6.0
5012,Implement infection prevention and control (IPC) measures,Promote good hygiene practices,3.0
5013,Implement infection prevention and control (IPC) measures,Count deaths,21.0
5014,Implement infection prevention and control (IPC) measures,Transport or evacuate patients,0.0
5015,Implement infection prevention and control (IPC) measures,"""Ensure proper water, sanitation, and hygiene (WASH)""",1.0
5016,Implement infection prevention and control (IPC) measures,Develop or update instruments governing public health surveillance and response,0.0
5017,Implement infection prevention and control (IPC) measures,Explore fundraising options,0.0
5018,Implement infection prevention and control (IPC) measures,Develop hypothesis to explain specific exposure that caused disease,6.0
5019,Implement infection prevention and control (IPC) measures,Consider enforcing physical distancing measures of infectious patients,2.0
5020,Implement infection prevention and control (IPC) measures,Perform active case finding,4.0
5021,Implement infection prevention and control (IPC) measures,Initiate immunization campaign,2.0
5022,Implement infection prevention and control (IPC) measures,Conduct and assess statistical analysis,0.0
5023,Implement infection prevention and control (IPC) measures,Identify and train local spokespersons,0.0
5024,Implement infection prevention and control (IPC) measures,Determine the existence of an outbreak,1.0
5025,Implement infection prevention and control (IPC) measures,Empower community to make decisions and implement and manage change,5.0
5026,Implement infection prevention and control (IPC) measures,Integrate humanitarian risk and public health data,0.0
5027,Implement infection prevention and control (IPC) measures,Assess impacts to local banks and economic systems,0.0
5028,Implement infection prevention and control (IPC) measures,Collect case patient information,3.0
5029,Implement infection prevention and control (IPC) measures,Provide medical countermeasures (MCMs),2.0
5030,Implement infection prevention and control (IPC) measures,Publish and share data,2.0
5031,Implement infection prevention and control (IPC) measures,Humanely destroy all infected and exposed animals,0.0
5032,Implement infection prevention and control (IPC) measures,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",4.0
5033,Implement infection prevention and control (IPC) measures,Identify agent based on laboratory testing,18.0
5034,Implement infection prevention and control (IPC) measures,Initiate medical response,1.0
5035,Implement infection prevention and control (IPC) measures,Diagnose cases,5.0
5036,Implement infection prevention and control (IPC) measures,Manage potential clashes in national policy,0.0
5037,Identify infrastructure for isolation and quarantine facilities,Transport samples internationally,0.0
5038,Identify infrastructure for isolation and quarantine facilities,Manage emergency operations center (EOC) operations,0.0
5039,Identify infrastructure for isolation and quarantine facilities,Create inter-agency coordinating committee,1.0
5040,Identify infrastructure for isolation and quarantine facilities,Collect vaccination data,0.0
5041,Identify infrastructure for isolation and quarantine facilities,Declare outbreak nationally,0.0
5042,Identify infrastructure for isolation and quarantine facilities,Establish sample collection and transport protocols,0.0
5043,Identify infrastructure for isolation and quarantine facilities,Coordinate response with international partners,2.0
5044,Identify infrastructure for isolation and quarantine facilities,Ensure power is available for humanitarian response activities,0.0
5045,Identify infrastructure for isolation and quarantine facilities,Remove implicated foods from market,0.0
5046,Identify infrastructure for isolation and quarantine facilities,Train workforce on infection prevention & control (IPC) guidelines,1.0
5047,Identify infrastructure for isolation and quarantine facilities,Establish public hotline or call center,0.0
5048,Identify infrastructure for isolation and quarantine facilities,Engage the media,2.0
5049,Identify infrastructure for isolation and quarantine facilities,Develop plan for the safe disposal of waste,0.0
5050,Identify infrastructure for isolation and quarantine facilities,Provide funding and/or financing,0.0
5051,Identify infrastructure for isolation and quarantine facilities,Train workforce in epidemic intelligence,0.0
5052,Identify infrastructure for isolation and quarantine facilities,Manage clinical data,0.0
5053,Identify infrastructure for isolation and quarantine facilities,Train contact tracers,0.0
5054,Identify infrastructure for isolation and quarantine facilities,Train community on surveillance and/or contact tracing,0.0
5055,Identify infrastructure for isolation and quarantine facilities,Identify reporting lines,0.0
5056,Identify infrastructure for isolation and quarantine facilities,Complete public health needs assessment,0.0
5057,Identify infrastructure for isolation and quarantine facilities,Document and communicate the results of epidemiological investigation,1.0
5058,Identify infrastructure for isolation and quarantine facilities,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
5059,Identify infrastructure for isolation and quarantine facilities,Activate emergency operations center (EOC),0.0
5060,Identify infrastructure for isolation and quarantine facilities,Provide clean water,0.0
5061,Identify infrastructure for isolation and quarantine facilities,Provide mental health and counseling services,0.0
5062,Identify infrastructure for isolation and quarantine facilities,Deactivate emergency operations center (EOC),1.0
5063,Identify infrastructure for isolation and quarantine facilities,Notification of International Health Regulation (IHR) event,0.0
5064,Identify infrastructure for isolation and quarantine facilities,Engage in ongoing dialogue with community,1.0
5065,Identify infrastructure for isolation and quarantine facilities,Identify at risk population,0.0
5066,Identify infrastructure for isolation and quarantine facilities,Integrate and analyze surveillance data,0.0
5067,Identify infrastructure for isolation and quarantine facilities,Consider issuing trade restrictions,0.0
5068,Identify infrastructure for isolation and quarantine facilities,Staff isolation facilities,1.0
5069,Identify infrastructure for isolation and quarantine facilities,Confirm diagnoses,2.0
5070,Identify infrastructure for isolation and quarantine facilities,Genetically sequence samples,1.0
5071,Identify infrastructure for isolation and quarantine facilities,Compensate impacted populations,0.0
5072,Identify infrastructure for isolation and quarantine facilities,Develop SOPs for burials,0.0
5073,Identify infrastructure for isolation and quarantine facilities,Perform contact tracing activities,3.0
5074,Identify infrastructure for isolation and quarantine facilities,Identify vulnerable populations,0.0
5075,Identify infrastructure for isolation and quarantine facilities,Form differential diagnosis,0.0
5076,Identify infrastructure for isolation and quarantine facilities,Assessment of surveillance systems,0.0
5077,Identify infrastructure for isolation and quarantine facilities,Provide shelter for displaced populations,0.0
5078,Identify infrastructure for isolation and quarantine facilities,"""Dispose of animal carcasses, litter, and animal products""",0.0
5079,Identify infrastructure for isolation and quarantine facilities,Manage supply chain for consumable medical equipment,0.0
5080,Identify infrastructure for isolation and quarantine facilities,Mobilize and train volunteers,1.0
5081,Identify infrastructure for isolation and quarantine facilities,Determine mode of transmission,0.0
5082,Identify infrastructure for isolation and quarantine facilities,Plan systematic study,1.0
5083,Identify infrastructure for isolation and quarantine facilities,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
5084,Identify infrastructure for isolation and quarantine facilities,Coordinate with security sector and law enforcement,1.0
5085,Identify infrastructure for isolation and quarantine facilities,Initiate attribution investigation,0.0
5086,Identify infrastructure for isolation and quarantine facilities,Acquire road transportation vehicles,0.0
5087,Identify infrastructure for isolation and quarantine facilities,Carry out screening/testing activities,0.0
5088,Identify infrastructure for isolation and quarantine facilities,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
5089,Identify infrastructure for isolation and quarantine facilities,Procure diagnostics and laboratory testing material,0.0
5090,Identify infrastructure for isolation and quarantine facilities,Transport samples domestically,0.0
5091,Identify infrastructure for isolation and quarantine facilities,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
5092,Identify infrastructure for isolation and quarantine facilities,Share information and key messages with the public,2.0
5093,Identify infrastructure for isolation and quarantine facilities,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
5094,Identify infrastructure for isolation and quarantine facilities,Monitor and manage suspected cases,3.0
5095,Identify infrastructure for isolation and quarantine facilities,Collect and manage data on security-related threats and events,0.0
5096,Identify infrastructure for isolation and quarantine facilities,Share genetic sequence data with international community,0.0
5097,Identify infrastructure for isolation and quarantine facilities,Conduct risk assessment,1.0
5098,Identify infrastructure for isolation and quarantine facilities,Promote good hygiene practices,0.0
5099,Identify infrastructure for isolation and quarantine facilities,Count deaths,2.0
5100,Identify infrastructure for isolation and quarantine facilities,Transport or evacuate patients,1.0
5101,Identify infrastructure for isolation and quarantine facilities,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
5102,Identify infrastructure for isolation and quarantine facilities,Develop or update instruments governing public health surveillance and response,0.0
5103,Identify infrastructure for isolation and quarantine facilities,Explore fundraising options,0.0
5104,Identify infrastructure for isolation and quarantine facilities,Develop hypothesis to explain specific exposure that caused disease,0.0
5105,Identify infrastructure for isolation and quarantine facilities,Consider enforcing physical distancing measures of infectious patients,1.0
5106,Identify infrastructure for isolation and quarantine facilities,Perform active case finding,0.0
5107,Identify infrastructure for isolation and quarantine facilities,Initiate immunization campaign,0.0
5108,Identify infrastructure for isolation and quarantine facilities,Conduct and assess statistical analysis,0.0
5109,Identify infrastructure for isolation and quarantine facilities,Identify and train local spokespersons,0.0
5110,Identify infrastructure for isolation and quarantine facilities,Determine the existence of an outbreak,0.0
5111,Identify infrastructure for isolation and quarantine facilities,Empower community to make decisions and implement and manage change,1.0
5112,Identify infrastructure for isolation and quarantine facilities,Integrate humanitarian risk and public health data,0.0
5113,Identify infrastructure for isolation and quarantine facilities,Assess impacts to local banks and economic systems,0.0
5114,Identify infrastructure for isolation and quarantine facilities,Collect case patient information,0.0
5115,Identify infrastructure for isolation and quarantine facilities,Provide medical countermeasures (MCMs),0.0
5116,Identify infrastructure for isolation and quarantine facilities,Publish and share data,0.0
5117,Identify infrastructure for isolation and quarantine facilities,Humanely destroy all infected and exposed animals,0.0
5118,Identify infrastructure for isolation and quarantine facilities,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",0.0
5119,Identify infrastructure for isolation and quarantine facilities,Identify agent based on laboratory testing,2.0
5120,Identify infrastructure for isolation and quarantine facilities,Initiate medical response,2.0
5121,Identify infrastructure for isolation and quarantine facilities,Diagnose cases,0.0
5122,Identify infrastructure for isolation and quarantine facilities,Manage potential clashes in national policy,0.0
5123,Transport samples internationally,Manage emergency operations center (EOC) operations,1.0
5124,Transport samples internationally,Create inter-agency coordinating committee,0.0
5125,Transport samples internationally,Collect vaccination data,0.0
5126,Transport samples internationally,Declare outbreak nationally,0.0
5127,Transport samples internationally,Establish sample collection and transport protocols,0.0
5128,Transport samples internationally,Coordinate response with international partners,7.0
5129,Transport samples internationally,Ensure power is available for humanitarian response activities,0.0
5130,Transport samples internationally,Remove implicated foods from market,0.0
5131,Transport samples internationally,Train workforce on infection prevention & control (IPC) guidelines,1.0
5132,Transport samples internationally,Establish public hotline or call center,0.0
5133,Transport samples internationally,Engage the media,0.0
5134,Transport samples internationally,Develop plan for the safe disposal of waste,0.0
5135,Transport samples internationally,Provide funding and/or financing,2.0
5136,Transport samples internationally,Train workforce in epidemic intelligence,0.0
5137,Transport samples internationally,Manage clinical data,0.0
5138,Transport samples internationally,Train contact tracers,0.0
5139,Transport samples internationally,Train community on surveillance and/or contact tracing,1.0
5140,Transport samples internationally,Identify reporting lines,0.0
5141,Transport samples internationally,Complete public health needs assessment,1.0
5142,Transport samples internationally,Document and communicate the results of epidemiological investigation,0.0
5143,Transport samples internationally,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
5144,Transport samples internationally,Activate emergency operations center (EOC),1.0
5145,Transport samples internationally,Provide clean water,0.0
5146,Transport samples internationally,Provide mental health and counseling services,0.0
5147,Transport samples internationally,Deactivate emergency operations center (EOC),0.0
5148,Transport samples internationally,Notification of International Health Regulation (IHR) event,2.0
5149,Transport samples internationally,Engage in ongoing dialogue with community,0.0
5150,Transport samples internationally,Identify at risk population,0.0
5151,Transport samples internationally,Integrate and analyze surveillance data,1.0
5152,Transport samples internationally,Consider issuing trade restrictions,0.0
5153,Transport samples internationally,Staff isolation facilities,0.0
5154,Transport samples internationally,Confirm diagnoses,6.0
5155,Transport samples internationally,Genetically sequence samples,0.0
5156,Transport samples internationally,Compensate impacted populations,1.0
5157,Transport samples internationally,Develop SOPs for burials,0.0
5158,Transport samples internationally,Perform contact tracing activities,1.0
5159,Transport samples internationally,Identify vulnerable populations,0.0
5160,Transport samples internationally,Form differential diagnosis,2.0
5161,Transport samples internationally,Assessment of surveillance systems,0.0
5162,Transport samples internationally,Provide shelter for displaced populations,0.0
5163,Transport samples internationally,"""Dispose of animal carcasses, litter, and animal products""",0.0
5164,Transport samples internationally,Manage supply chain for consumable medical equipment,0.0
5165,Transport samples internationally,Mobilize and train volunteers,0.0
5166,Transport samples internationally,Determine mode of transmission,1.0
5167,Transport samples internationally,Plan systematic study,0.0
5168,Transport samples internationally,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
5169,Transport samples internationally,Coordinate with security sector and law enforcement,0.0
5170,Transport samples internationally,Initiate attribution investigation,0.0
5171,Transport samples internationally,Acquire road transportation vehicles,0.0
5172,Transport samples internationally,Carry out screening/testing activities,1.0
5173,Transport samples internationally,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
5174,Transport samples internationally,Procure diagnostics and laboratory testing material,0.0
5175,Transport samples internationally,Transport samples domestically,1.0
5176,Transport samples internationally,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
5177,Transport samples internationally,Share information and key messages with the public,1.0
5178,Transport samples internationally,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
5179,Transport samples internationally,Monitor and manage suspected cases,4.0
5180,Transport samples internationally,Collect and manage data on security-related threats and events,0.0
5181,Transport samples internationally,Share genetic sequence data with international community,0.0
5182,Transport samples internationally,Conduct risk assessment,1.0
5183,Transport samples internationally,Promote good hygiene practices,0.0
5184,Transport samples internationally,Count deaths,7.0
5185,Transport samples internationally,Transport or evacuate patients,0.0
5186,Transport samples internationally,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
5187,Transport samples internationally,Develop or update instruments governing public health surveillance and response,1.0
5188,Transport samples internationally,Explore fundraising options,0.0
5189,Transport samples internationally,Develop hypothesis to explain specific exposure that caused disease,2.0
5190,Transport samples internationally,Consider enforcing physical distancing measures of infectious patients,0.0
5191,Transport samples internationally,Perform active case finding,0.0
5192,Transport samples internationally,Initiate immunization campaign,1.0
5193,Transport samples internationally,Conduct and assess statistical analysis,0.0
5194,Transport samples internationally,Identify and train local spokespersons,0.0
5195,Transport samples internationally,Determine the existence of an outbreak,0.0
5196,Transport samples internationally,Empower community to make decisions and implement and manage change,1.0
5197,Transport samples internationally,Integrate humanitarian risk and public health data,0.0
5198,Transport samples internationally,Assess impacts to local banks and economic systems,0.0
5199,Transport samples internationally,Collect case patient information,5.0
5200,Transport samples internationally,Provide medical countermeasures (MCMs),2.0
5201,Transport samples internationally,Publish and share data,0.0
5202,Transport samples internationally,Humanely destroy all infected and exposed animals,0.0
5203,Transport samples internationally,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",1.0
5204,Transport samples internationally,Identify agent based on laboratory testing,10.0
5205,Transport samples internationally,Initiate medical response,1.0
5206,Transport samples internationally,Diagnose cases,1.0
5207,Transport samples internationally,Manage potential clashes in national policy,0.0
5208,Manage emergency operations center (EOC) operations,Create inter-agency coordinating committee,1.0
5209,Manage emergency operations center (EOC) operations,Collect vaccination data,0.0
5210,Manage emergency operations center (EOC) operations,Declare outbreak nationally,0.0
5211,Manage emergency operations center (EOC) operations,Establish sample collection and transport protocols,0.0
5212,Manage emergency operations center (EOC) operations,Coordinate response with international partners,2.0
5213,Manage emergency operations center (EOC) operations,Ensure power is available for humanitarian response activities,0.0
5214,Manage emergency operations center (EOC) operations,Remove implicated foods from market,0.0
5215,Manage emergency operations center (EOC) operations,Train workforce on infection prevention & control (IPC) guidelines,1.0
5216,Manage emergency operations center (EOC) operations,Establish public hotline or call center,0.0
5217,Manage emergency operations center (EOC) operations,Engage the media,0.0
5218,Manage emergency operations center (EOC) operations,Develop plan for the safe disposal of waste,0.0
5219,Manage emergency operations center (EOC) operations,Provide funding and/or financing,0.0
5220,Manage emergency operations center (EOC) operations,Train workforce in epidemic intelligence,0.0
5221,Manage emergency operations center (EOC) operations,Manage clinical data,0.0
5222,Manage emergency operations center (EOC) operations,Train contact tracers,0.0
5223,Manage emergency operations center (EOC) operations,Train community on surveillance and/or contact tracing,1.0
5224,Manage emergency operations center (EOC) operations,Identify reporting lines,0.0
5225,Manage emergency operations center (EOC) operations,Complete public health needs assessment,2.0
5226,Manage emergency operations center (EOC) operations,Document and communicate the results of epidemiological investigation,0.0
5227,Manage emergency operations center (EOC) operations,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",1.0
5228,Manage emergency operations center (EOC) operations,Activate emergency operations center (EOC),3.0
5229,Manage emergency operations center (EOC) operations,Provide clean water,1.0
5230,Manage emergency operations center (EOC) operations,Provide mental health and counseling services,0.0
5231,Manage emergency operations center (EOC) operations,Deactivate emergency operations center (EOC),0.0
5232,Manage emergency operations center (EOC) operations,Notification of International Health Regulation (IHR) event,0.0
5233,Manage emergency operations center (EOC) operations,Engage in ongoing dialogue with community,0.0
5234,Manage emergency operations center (EOC) operations,Identify at risk population,0.0
