Activity,Function,Category,Phases,Description
Establish data sharing protocols for epidemiological data,"Epidemiological investigation, Data management","Epidemiology & lab analysis, Governance & coordination","Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery","<p>The development of protocols for sharing epidemiological data helps provide advance clarity on expected methods for the timely sharing of data to and from public and private institutions. In addition to documenting methods and expectations for data sharing, effective protocols also provide clarity on ownership of the data and plans for long-term data storage.</p><p>The World Health Organization describes three kinds of data that are typically provided to the organization (noting that additional kinds of data and information may also need to be shared):<sup class=""footnote"" data-id=""1"">1</sup></p><p><ul><li><strong>Surveillance, epidemiology, and emergency response</strong>. While epidemiological data are owned by the countries in which they are generated, the WHO consensus is that they should be shared by default (with an opt-out policy). Notification requirements of the International Health Regulations (IHR) (2005) are based on the identification within a States Party territory of a Public Health Emergency of International Concern (PHEIC). The goal is to capture any novel or evolving risk to international public health, taking into account the context in which the event occurs.<sup class=""footnote"" data-id=""2"">2</sup> The regulations ask States Parties to share information with WHO <em>before</em> WHO declares a PHEIC. WHO can in turn make that information available to the public once certain requirements are met (such as declaration of a PHEIC or an immediate need for international control measures). </li> <li><strong>Genetic sequence data/information</strong>. Sharing of sequence data allows improved tracking of epidemics and aids in the development of diagnostic tests, treatments, and vaccines. WHO asks that genome sequences be made publicly available as quickly as possible through relevant databases, and that benefits arising from the use of those sequences be shared equitably with the country from where the pathogen genome sequence originates. </li> <li><strong>Observational studies and clinical trials</strong>. The most important element of information sharing with respect to observational and clinical trial studies is a) that they are being carried out and b) when results are expected. Once data are available and able to be shared (based on predefined disclosure allowances for these kinds of studies), those carrying out such studies should work with researchers, funders, and journals to ensure preliminary and final results are quickly made available. It is WHO policy that all interventional clinical trials be prospectively registered in a primary clinical trials registry that conforms to standards agreed to by the WHO International Clinical Trials Registry Platform (who.int/ictrp). </li></ul></p><p>Countries should develop protocols with consideration for handling these kinds of data and information. Separate protocols are required for the management of biological sample sharing.</p>"
Establish diagnostic protocols,"Laboratory analysis, Attribution investigation","Epidemiology & lab analysis, Safety & security","Detection, Early response, Surveillance & preparedness","<p>Diagnostic tests can aid both an epidemiological investigation and clinical management decisions during an infectious disease outbreak. An essential part of outbreak preparedness and response is the development of protocols to standardize the use of these tests, prevent misinterpretation, and maximize their utility.</p><p>Epidemiological investigations have come to rely on diagnostic testing to help aid health officials’ understanding of disease incidence, prevalence, and other characteristics of a pathogen’s movement through populations. Relatedly, diagnostic testing has also become indispensable for clinical use in terms of diagnosing infected patients and monitoring the progression of disease.<sup class=""footnote"" data-id=""1"">1</sup> These tests can take the form of laboratory-based assays requiring trained personnel and specialized equipment to run, or forward-deployed, point-of-care or point-of-need tests that can be used more easily by non-specialists (sometimes called “rapid diagnostic tests”). These tests may be referred to as “in vitro diagnostic tests” because they are run on samples outside the human (or animal) body. Some tests may identify the presence of a pathogen’s DNA, RNA, or antigens to signify a current infection; others may identify a host’s antibody to suggest prior exposure.</p><p>Diagnostic protocols offer decision support about what kind of tests will be used in which situations and for whom. These protocols should be disease-specific and should be developed in advance, and modified if appropriate in an emergency to address the particular circumstances of an outbreak. Médecins Sans Frontières (Doctors without Borders) has developed a six-step approach to the selection of diagnostic tests for routine use—these planning steps can be used <em>when tests are already available</em> :<sup class=""footnote"" data-id=""2"">2</sup></p>"
"Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community",Physical distancing,Healthcare & IPC,"Early response, Intervention",A comprehensive description of this activity is coming soon.
Establish public hotline or call center,Communication,Governance & coordination,"Early response, Intervention","Establish or maintain a public hotline, ensuring appropriate staffing allowing for shift work, and developing a plan for escalation if needed."
Establish sample collection and transport protocols,"Epidemiological investigation, Laboratory analysis, Attribution investigation","Epidemiology & lab analysis, Safety & security","Intervention, Surveillance & preparedness, Detection, Early response","<p>An essential part of outbreak preparedness and response is the development protocols for the safe collection, storage, labelling, and transportation of biological samples to aid in the epidemiological investigation. These protocols should be developed in advance, and modified as needed in an emergency to address the particular circumstances of an outbreak. The following discussion outlines some key elements that should be considered as part of these plans; the references cited provide significantly more detail that can aid the establishment of comprehensive plans.</p><em>Collection</em><p>The initial investigation involves both the collection of information on suspect cases and the collection of clinical samples to enable laboratory diagnosis.<sup class=""footnote"" data-id=""1"">1</sup> The type of sample collected depends on the nature of the outbreak and should be taken from suspected cases as soon as possible once an outbreak has been identified. Biological samples typically include blood, urine, saliva, feces, etc.<sup class=""footnote"" data-id=""2"">2</sup> They are typically collected from people but can also be collected from animals when investigators suspect a zoonotic outbreak. (Environmental specimens such as from food, water, and fomites may also be relevant and may be collected during disease outbreak investigations to confirm the source of an infectious agent; environmental samples are frequently collected in conjunction with human clinical samples.<sup class=""footnote"" data-id=""3"">3</sup> )</p><p>Appropriate sample collection is important to ensure sample quality and quantity for sufficient laboratory use. Key steps to ensuring that appropriate samples are collected and with the correct procedures include:<sup class=""footnote"" data-id=""4"">4</sup></p><p><ul><li>Deciding which clinical specimens are required to confirm the cause of the outbreak </li> <li>Selecting the laboratory for specimen testing</li> <li>Deciding who will collect, process and transport the specimens </li> <li>Defining the procedures necessary for specimen management </li></ul></p><p>There are obviously many details to consider among these steps, including ensuring the safety of the specimen collector; implementing a labeling schema that all parties understand; and ensuring the needed packaging materials are brought to the specimen collection site. Sample collection equipment, transport mediums, and personal protective equipment are important for secure sample collection and should follow standard operating procedure guidance. Once collected, samples should be labeled with a unique identifier to link to patient demographic and/or epidemiological information, as appropriate.</p><em>Transport</em><p>The epidemiological investigation may be conducted in a site remote from the laboratory which will receive and process the sample, making advance planning necessary for all aspects of the flow of diagnostic specimens, from patient through to laboratory.<sup class=""footnote"" data-id=""5"">5</sup> As part of the emergency planning process, consideration should be given to sample storage, packaging, and transport.</p><p>Before transport, the collection team should notify the receiving laboratory of all shipping and sample details. Initial surface transportation of samples from field sites to transport facilities may be required prior to shipment to processing laboratories. If international transport is necessary, authorization to import the specimens should be organized by the laboratory.<sup class=""footnote"" data-id=""6"">6</sup> Different transportation methods will necessitate different packaging and processes:<sup class=""footnote"" data-id=""7"">7</sup></p><p><ul><li>Surface transport/courier: Transport boxes should be securely fastened in place in the transport vehicle, and a spill kit should be present in the vehicle. An adequate amount of refrigerant should be available in case of delays. Extensive vibration of samples should be avoided if possible as it can hemolyze or otherwise damage samples. Ideally, serum should be separated from clotted blood samples before transport. </li> <li>Air transport/postal service: Samples may be sent by mail in conformance with relevant international, national, and commercial carrier requirements. Contact with postal authorities should be established prior to the collection of samples to ensure their ability to transport the materials and to verify shipping requirements. There are commercial organizations specializing in transport of clinical samples and infectious materials, and they can provide details of their sample packaging and documentation requirements.</li></ul></p><p>This guidance will support an attribution investigation as it supports an epidemiological investigation and laboratory analysis; for attribution purposes, however, planners may wish to pay particular attention to biosecurity planning elements, which will be especially important for ensuring evidence integrity during a criminal investigation.</p>"
Evacuate responders,"Transportation, Emergency humanitarian response","Logistics & support, Humanitarian assistance","Early response, Intervention, Post-intervention & recovery","Transportation for medical and non-medical evacuations of responders, including potentially infectious patients."
Expand drug access,Governance and policy,Governance & coordination,"Early response, Intervention","Expand drug access

Ensure expansive access to drugs and vaccines by utilizing existing infrastructure to transport vaccine into urban and rural areas while maintaining cold chain. 

Issue emergency use or expanded market authorization or international equivalent

Expand access to drugs, devices, PPE, and other necessary resources for emergency use via emergency use authorizations, additional marketing authorizations, other regulatory pathways designed to increase access to necessary products during an emergency. If products do not yet have market authorizations, consider granting initial authorization.

Ensure any medical countermeasure required for the outbreak meets regulatory requirements"
Explore fundraising options,Funding and economic support,Governance & coordination,"Early response, Intervention","<p>Regardless of how well-prepared and resourced a country or region is, it is rare that they are sufficiently equipped to contain an epidemic or pandemic without international assistance. Global fundraising may be necessary for adequate response efforts to an outbreak. Factors such as size of the disease cluster, time since the first case was reported, geographical characteristics of the region, and national capacity for disaster response inform the response team’s evaluation of need for and type of fundraising and resources.<sup class=""footnote"" data-id=""1"">1</sup></p><p>Ideally, health authorities at the national or local level (depending on the nature of the threat) notify the WHO at the start of an outbreak. Timely notification enables rapid mobilization of emergency funds as the response team may not have targeted funding requests yet. Often with the support of WHO, the vulnerable region can then conduct an assessment of its current capacity. This evaluation characterizes gaps in resources. Specific response activities that may rely on global support include the procurement of PPE, vaccine trials, research and development of medical technology, and deployment of medical and public health workers.</p><p>The WHO often facilitates regular communication with key funding sources for these endeavors.<sup class=""footnote"" data-id=""2"">2</sup><sup>,</sup><sup class=""footnote"" data-id=""3"">3</sup> Dynamic evaluation systems and reliable communication mechanisms result in evidence-based funding requests and promote positive relations with potential and current donors. Continued requests for resources should aim to keep donors apprised of the timeline for and the efficacy of current response activities.</p>"
Finalize longer-term staffing plan,"Operational coordination, Human resource management","Governance & coordination, Logistics & support","Post-intervention & recovery, Intervention",Determine a plan to ensure sufficient healthcare workers are available and adequately distributed in both urban and rural areas for extended periods of time. Address fiscal restraints on hiring staff in the public sector and challenges concerning the retention of healthcare workers.
Form differential diagnosis,"Epidemiological investigation, Clinical care and case management","Epidemiology & lab analysis, Healthcare & IPC","Detection, Intervention, Early response, Post-intervention & recovery","<p>The early signs and symptoms of many infectious diseases can be similar to one another, necessitating a process by which healthcare providers can distinguish the etiology of a patient’s illness. Clinicians are taught to assess patients in a way that enables them to reach a set of possible diagnoses that could explain a patient’s signs and symptoms. This process remains critically important when assessing patients during an outbreak, to ensure suspected cases are captured and non-outbreak-related cases do not burden the healthcare system.</p><p>Although care will need to be adapted to the circumstances and nature of the particular outbreak, healthcare providers will continue to rely on their fundamental training in triage, history taking, subjective and objective patient assessment, development of differential diagnoses, development and implementation of treatment plans, and medical record keeping. The use of differential diagnoses as a tool for critically thinking through a patient’s signs and symptoms will not be new to clinicians, and they should embed this tool in their assessment process during an outbreak as they would in any other situation. Differential diagnoses are simply a list of diseases that a patient could have based on the information generated<sup class=""footnote"" data-id=""1"">1</sup> at a fairly early point in the assessment process, primarily through history taking and physical examination. A rigorous history-taking that includes evaluating whether the patient had contact with known or suspected cases or had another risk interface that could have exposed him or her to infection will support the differential diagnosis process. Clinicians can make the most of the differential diagnosis tool by leveraging the clinical guidance and case definitions provided to them by health authorities.</p><p>Once a set of prioritized differential diagnoses is established, it should be used to inform next steps for the patients. This may include further questioning, observation, and testing.<sup class=""footnote"" data-id=""2"">2</sup> Clinicians will decide what diagnostic approach makes sense to enable them to rule out conditions on their list and rule in others. For a new disease, laboratory-based diagnostics to assess the presence of pathogen in a patient sample may not be immediately available. Ruling out other diseases on the list and adhering to the provided case definitions will help in this case. It may even be an astute clinician who first identifies an outbreak is occurring, by recognizing that none of the differential diagnoses generated are perfect matches for the patient’s presentation and test results.</p><p>When laboratory or point-of-care diagnostic assays do become available, guidance on their use (which patients should get the test, at which point in the timeline of exposure, etc.) should be followed. For some known infectious diseases, the WHO publishes “Disease Commodity Packages” that enable healthcare providers and preparedness planners to identify the critical medical supplies and consumables that are needed to save lives in an outbreak.<sup class=""footnote"" data-id=""3"">3</sup> This can help providers identify the provisions they need to get their patients definitively diagnosed, such as consumables for sample collection and personal protective equipment.</p>"
Formulate emergency humanitarian response exit strategy,"Operational coordination, Emergency humanitarian response","Governance & coordination, Humanitarian assistance","Intervention, Post-intervention & recovery",A comprehensive description of this activity is coming soon.
Genetically sequence samples,"Laboratory analysis, Attribution investigation","Epidemiology & lab analysis, Safety & security","Intervention, Post-intervention & recovery, Detection, Early response","<p>Genetically sequencing samples should be a priority during outbreaks. Pathogen genetic sequence data can provide important and useful information on the infectious agent responsible for an outbreak, even if it is a previously unknown pathogen. Sequencing can also give important insights on the origins of an outbreak, transmission, how to effectively control the pathogen’s spread, design diagnostics, and develop treatment and vaccines.<sup class=""footnote"" data-id=""1"">1</sup></p><p>High-throughput sequencing technologies allow for the rapid full sequencing of a pathogen’s genome.<sup class=""footnote"" data-id=""2"">2</sup> Examples of methods used include: metagenomic sequencing, target enrichment sequencing and PCR amplicon sequencing, and multiplex PCR. <sup class=""footnote"" data-id=""3"">3</sup><sup>,</sup><sup class=""footnote"" data-id=""4"">4</sup> Genetic sequencing should be carried out “as close to the point of sample collection as possible to empower local capacity, avoid delays, and reduce risk of sample degradation.” <sup class=""footnote"" data-id=""5"">5</sup></p>"
Grant relevant credentials to responders,Governance and policy,Governance & coordination,"Early response, Intervention, Post-intervention & recovery","Rapidly secure visas and establish valid legal status for responders, particularly responders coming from overseas. Secure visas for local clinical trial staff to ensure them adequate care should they become infected during a clinical trial."
Humanely destroy all infected and exposed animals,Animal health,Healthcare & IPC,"Early response, Intervention, Post-intervention & recovery","<p><em> </em> The emergence of an infectious disease in an animal population may result in the instatement of a culling or “stamping out” policy. Many nations have standing culling policies related to the introduction of transboundary diseases, largely to enable adherence to international animal trade regulations and disease-free status designations. Other decisions to destroy animals may be made on a case-by-case basis. Decisions to cull should be a last resort and should not be taken lightly. Because vaccination or treatment is not available for some epidemic livestock diseases, stamping out may at times be considered the only viable option; alternatively, for other diseases stamping out is unlikely to have much effect, particularly vector-borne diseases carried by ticks or mosquitoes, such as Rift Valley fever or bluetongue.<sup class=""footnote"" data-id=""1"">1</sup></p><p>If destruction is to be undertaken, it must be done speedily once the disease has been confirmed; in most situations, infected live animals will continue to produce and possibly disseminate the disease pathogen.<sup class=""footnote"" data-id=""2"">2</sup>  <strong>Any culling <em>must</em> be done in accordance with World Organisation for Animal Health (OIE) animal welfare standards</strong> .<sup class=""footnote"" data-id=""3"">3</sup> These include such principles as ensuring all personnel involved have been appropriately trained; maintenance of normal husbandry until the animals are killed; minimization of handling; and oversight by a designated Competent Authority for animal welfare purposes. An experienced veterinarian should be present during destruction.<sup class=""footnote"" data-id=""4"">4</sup></p><p>The crucial elements of stamping out are:<sup class=""footnote"" data-id=""5"">5</sup></p><p><ul><li>designation of infected zones;</li> <li>intensive disease surveillance to identify infected premises and dangerous-contact premises or villages within these zones;</li> <li>imposition of quarantine and livestock movement restrictions;</li> <li>immediate slaughter of all susceptible animals either on the infected and dangerous-contact premises or in the whole infected area;</li> <li>safe disposal of their carcasses and other potentially infected materials;</li> <li>disinfection and cleaning of infected premises; and</li> <li>maintaining these premises depopulated of susceptible animals for a suitable period.</li></ul></p>"
Identify agent based on laboratory testing,"Laboratory analysis, Attribution investigation","Epidemiology & lab analysis, Safety & security",Detection,
Identify and address relevant legislative gaps,Governance and policy,Governance & coordination,Surveillance & preparedness,A comprehensive description of this activity is coming soon.
Identify and address social disturbances,"Emergency humanitarian response, Protection","Humanitarian assistance, Safety & security","Early response, Intervention, Post-intervention & recovery",A comprehensive description of this activity is coming soon.
Identify and interview initial case(s),Epidemiological investigation,Epidemiology & lab analysis,"Detection, Early response","<p>Interviewing initial case(s) is an important early step in an outbreak investigation and a critical component to hypothesis generation. Interviews help epidemiological investigators understand important factors like whether the individual contracted the pathogen from a point source or another person. They also may provide law enforcement investigators with information to support an attribution investigation—that is, to determine whether the outbreak may have been intentional or the result of a manmade accident. Potential cases to interview can be identified through a variety of sources, including laboratory reporting, direct reporting from agencies, and public complaint systems.<sup class=""footnote"" data-id=""1"">1</sup> Individuals with reasonable demonstration of illness or high probability of exposure should then be interviewed.</p><p>The interview questions should be open and comprehensive in order to gather:<sup class=""footnote"" data-id=""2"">2</sup></p><p><ul><li>Demographic and identifying information (including occupation)</li> <li>Clinical history (date of onset, duration and severity of symptoms)</li> <li>Travel information (location, duration, dates)</li> <li>Risk factor information (contact with other ill persons, food consumption history, possible initial exposure)</li> <li>Respondent’s thoughts on what caused their illness</li></ul></p><p>Public health officials should interview initial case(s) as soon as possible in order to increase the probability of identifying epidemiologic links between cases and possible exposure and to prevent possible recall bias.<sup class=""footnote"" data-id=""3"">3</sup></p>"
Identify and map reference laboratories and resources,"Laboratory analysis, Resource mapping, Attribution investigation","Epidemiology & lab analysis, Logistics & support, Safety & security","Surveillance & preparedness, Detection, Early response","<p>Understanding in advance the laboratory resources that will be available during an outbreak enables more effective preparedness and response. These resources include all domestic laboratories and the human personnel required to staff them, and can be harnessed in organized fashion to create efficiencies during an outbreak.</p><p>First, health officials should map the laboratory resources in their country. “Map” in this sense is used both spatially and organizationally. Planners should create a database of each national and subnational clinical testing laboratory, public or private. The Joint External Evaluation (JEE) indicators for a national laboratory system offer a guide to what elements to identify as part of this process.<sup class=""footnote"" data-id=""1"">1</sup> Key minimum elements the database should capture include:</p><p><ul><li>Names and locations of laboratories</li> <li>Accreditation status of laboratories</li> <li>Staffing levels</li> <li>Whether laboratory is a designated reference laboratory</li> <li>Domains of competency</li> <li>Specialty clinical testing expertise</li> <li>Capacity for conducting “core tests” as defined in the JEE (which tests, how many staff trained on these tests, how many tests per day, etc.)</li> <li>Capacity to deploy point-of-care diagnostics tests</li> <li>Availability of personal protective equipment and other supplies needed to run tests</li> <li>Plans in place for referral of specimens to other laboratories (“specimen referral system”)</li> <li>Existence of laboratory networks, including planned or exercised partnerships with international laboratories</li></ul></p><p>Laboratories may also be mapped using a geospatial software that enables planners to assess characteristics like how far laboratories are from clinics and hospitals, how far they are from each other, and how much population is served by a given laboratory.</p><p>Health officials should also identify international reference laboratories they may need to use during an outbreak if circumstances exceed their own country capacity or capability.</p><p>Laboratories are most effective at enabling timely access to appropriate diagnostic tools when organized into an integrated, multi-level network.<sup class=""footnote"" data-id=""2"">2</sup><sup>,</sup><sup class=""footnote"" data-id=""3"">3</sup><sup>,</sup><sup class=""footnote"" data-id=""4"">4</sup> Once resources are mapped, health officials can consider steps they can take to develop a strategic laboratory plan consistent with the World Health Organization’s calls for strengthening laboratory systems.<sup class=""footnote"" data-id=""5"">5</sup></p>"
Identify and map security risks and resources,"Resource mapping, Protection, Risk assessment","Logistics & support, Safety & security, Epidemiology & lab analysis","Surveillance & preparedness, Detection, Early response",A comprehensive description of this activity is coming soon.
Identify and provide timely access to essential hygiene items,"""Food, water, shelter""",Humanitarian assistance,"Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery","<p>Good hygiene can be a simple but powerful tool in preventing and stemming many kinds of outbreaks. Health and humanitarian officials can aid response by promoting good evidenced-based hygiene practices and ensuring that access to the resources needed for that hygiene are available to everyone. Identifying the essential hygiene items that individuals, households, and communities need to prevent and mitigate the spread of infectious disease is a core humanitarian principle as well as public health goal.</p><p>Key actions in ensuring access to hygiene resources include:<sup class=""footnote"" data-id=""1"">1</sup></p><p><ul><li>Identify the essential hygiene items needed by individuals, households, and communities;</li> <li>Provide timely access to these essential items;</li> <li>Plan for how people will collect or buy these items; and </li> <li>Seek feedback from affected people on the appropriateness of the items and their satisfaction with the mechanism for accessing them.</li></ul></p><p>Water supply, sanitation, and hygiene promotion (WASH) is a common expression of functions that can reduce the risk of infectious disease, and WASH principles are often invoked for the kinds of infectious disease outbreaks that occur as the result of natural disasters and other humanitarian crises, particularly diarrheal diseases. As COVID-19 has demonstrated, hygiene promotion is also critical to preventing the spread of other kinds of infectious disease, including those with pandemic potential. Hygiene programs should be designed to adapt to the particular requirements of the outbreak. Hygiene items and kits should also be adapted to the culture and context, and to the needs of at-risk groups (e.g., based on age, co-conditions, or disabilities). A market assessment and household income analysis, including gender roles in expenditure decisions, should inform the plans for access and use of hygiene items. Provision of hygiene items should support local markets where possible. Safety and security should be prioritized during distribution.<sup class=""footnote"" data-id=""2"">2</sup></p>"
Identify and share relevant legislation and regulations across sectors,Governance and policy,Governance & coordination,"Surveillance & preparedness, Early response","<p>A country’s response to an outbreak is influenced by legislation, regulations, and administrative requirements at the national, state, and/or local level. With this in mind, it is critical to identify which policies and expectations are pertinent to the threat at hand. Identification and sharing of this information should be executed with the International Health Regulations in mind. These regulations stipulate core public health capacities, and offer a means for collaboration among sectors to achieve global health security.<sup class=""footnote"" data-id=""1"">1</sup> Identification of relevant legislation and regulations requires consideration of their <strong>context </strong> through questions including:</p><p><ul><li>How are the legislation and regulations developed, reviewed and operationalized in the country? </li> <li>Does the veterinary sector have legislation in place that gives them authority to impose quarantine, stop animal movement, euthanize and reimburse owners for the value of animals/poultry that are sacrificed in order to control/eradicate a disease? </li> <li>What processes and mechanisms are in place to gather and channel financing in response to public health emergencies? </li> <li>Does the country depend on outside sources of financing and other resources for responding to public health emergencies? </li> <li>Is there domestic financing in the national budget for recurrent or predictable public health emergencies? </li> <li>What is the proportion of the national health budget allocated for public health, for IHR functions or health security related activities (i.e. prevention, detection and response)? </li> <li>Is there an existing national plan to strengthen IHR capacities (national health security plan, other), and has this plan been financed? </li> <li>Is there a plan to coordinate the functions and operations of the national IHR with the country’s relevant environment and agriculture responders? </li> <li>Is there consistent and timely distribution of funds for recurrent activities that are part of an existing national plan? </li> <li>How are subnational level activities funded? </li> <li>Is there a financial implementation monitoring mechanism in place? </li> <li>What mechanisms exist to engage funding from the private sector?<sup class=""footnote"" data-id=""2"">2</sup> </li></ul></p><p>Identification of relevant legislation and regulations also calls for consideration of their alignment with IHR and financing (funds, mechanism for delivery, etc.).</p><p>The response team must note the context and technical aspects of legislation and regulations before information is shared within and across sectors. Just as relevant policies and other regulations must be identified, their target audience(s) must also be designated. Information is disseminated effectively to relevant stakeholders via a functional multisectoral and multidisciplinary mechanism. The purpose of this mechanism is to promote coordination and integration of relevant sectors in the implementation of IHR and to respond to any public health events.</p>"
Identify and train local spokespersons,"Community engagement, Communication, Human resource management","Humanitarian assistance, Governance & coordination, Logistics & support","Early response, Intervention","<p>An important part of communication and community engagement in a humanitarian health response is mapping out, identifying, and training spokespersons, key actors, and mobilizers, especially from the local community. This may include recruiting religious leaders, politicians, traditional healers, media, and trusted individuals in both urban and rural settings.<sup class=""footnote"" data-id=""1"">1</sup> Spokespersons are often critical to raising awareness and improving the knowledge of the public in order to promote behaviors that may mitigate outbreak spread or risks associated with a health emergency.<sup class=""footnote"" data-id=""2"">2</sup> Furthermore, the role of spokespersons is to simplify information flow and promote consistent messaging content, so it may be helpful to support these individuals with talking points, media training, and standardized frameworks for disseminating information, referred to as message maps.<sup class=""footnote"" data-id=""3"">3</sup> <sup class=""footnote"" data-id=""4"">4</sup> Depending on the situation, it may also be necessary to develop procedures for coordinating activities of spokespersons and communicators from multiple agencies or organizations.<sup class=""footnote"" data-id=""5"">5</sup> Additionally, a spokesperson should possess effective presentation and interpersonal skills, while being able to relate to and deliver messages to diverse communities across a variety of channels. <sup class=""footnote"" data-id=""6"">6</sup> <sup class=""footnote"" data-id=""7"">7</sup></p>"
Identify at risk population,Epidemiological investigation,Epidemiology & lab analysis,"Detection, Early response, Surveillance & preparedness, Intervention, Post-intervention & recovery","<p>Descriptive epidemiology allows for identification of the population(s) at increased risk for the disease under investigation. The at risk population includes people known, or likely, to have been exposed to the infectious agent, as well as the proportion of the that population that may be especially susceptible to the disease.<sup class=""footnote"" data-id=""1"">1</sup></p><p>The at risk population can be identified through the collection of individual and population scale data, as well as the use of existing registries and census data.<sup class=""footnote"" data-id=""2"">2</sup> Factors that impact risk of exposure include the geographic location, social groupings, occupation, immunization status, age, or gender.<sup class=""footnote"" data-id=""3"">3</sup><sup>,</sup><sup class=""footnote"" data-id=""4"">4</sup> Investigative epidemiology to identify the at risk populations involves recognizing disease patterns by these key attributes.</p>"
Identify infrastructure for isolation and quarantine facilities,"Operational coordination, Resource mapping","Governance & coordination, Logistics & support","Surveillance & preparedness, Early response, Intervention","Identify and assess potential isolation structures in respect to infection control and adequate isolation possibilities, waste management, water and power supply."
Identify legal framework for emergency funding,Funding and economic support,Governance & coordination,"Surveillance & preparedness, Early response","<p>An effective, timely response to an outbreak relies on rapid, secure mobilization of adequate funding. As such, the emergency response plan should note the legal framework for requesting and securing financial support.<sup class=""footnote"" data-id=""1"">1</sup> Of note, this may refer to the legal structures here in the United States and/or abroad in a foreign country facing an outbreak. Additionally, relevant framework for inquiring about and obtaining funding may be found at different levels (local, state, national, and/or international) depending on the nature of the threat.</p><p>The response team should be prepared to identify the appropriate framework through which to request emergency funding. Requests may call for immediate and long-term aid, outlining the amount desired and how it will be used. The authorities then may determine if they will accept the request, how much to allocate, and how funding will be delivered. If a request is denied, the team may evaluate alternative funding pathways.</p><p>Emergency funding is necessary in disaster response. The process of acquiring and using the funding should prioritize transparency and accountability, following appropriate protocol in requesting and tracking its use to keep funding source informed.<sup class=""footnote"" data-id=""2"">2</sup></p>"
Identify operational budget,"Funding and economic support, Operational coordination",Governance & coordination,Early response,"<p>In the initial phase of an outbreak, development of an operational budget is critical to an effective response. The budget should provide the response team with the necessary capacity to respond fully to the outbreak, address emerging outbreak response needs through a comprehensive and thorough lens, and adopt the ‘no-regrets’ policy.</p><p>When an outbreak is identified, national authorities should start work on an operational budget as soon as possible. The budget should be prepared in close collaboration with WHO, UNICEF, and other key partners. Often, WHO headquarters will impose structure to budget formulation through providing guidance and setting deadlines. The budget should acknowledge the threat at hand, consider current and needed capacity of the response, and offer a comprehensive estimate of various categories of costs, including those for:</p><p><ul><li>Activities<ul><li>Coordination</li><li>Vaccination</li><li>Surveillance</li><li>Communication</li><li>Social mobilization</li></ul></li> <li>Enabling functions<ul><li>Laboratory operations</li><li>Training</li><li>Transport</li></ul></li></ul></p><p>The no-regrets financing policy should be applied to the budget to encourage a prompt and appropriate response to the outbreak. This policy enables the advance allocation of funding (generally up to $500,000) to ensure a timely, barrier-free release of funds even if it later becomes apparent that a smaller contribution would have been sufficient. Over-resourcing to support critical functions in rapid disaster response protects against failure due to delays.</p><p>Outbreak response financing relies on the evidence-based, coordinated, and timely preparation of a comprehensive budget to be implemented with a ‘no-regrets’ policy.<sup class=""footnote"" data-id=""1"">1</sup><sup>,</sup><sup class=""footnote"" data-id=""2"">2</sup></p>"
Identify physical location for an emergency operations center (EOC),"Operational coordination, Resource mapping","Governance & coordination, Logistics & support","Early response, Surveillance & preparedness","<p>An EOC is an Emergency Operations Center, the central location from which to run an incident management system during an outbreak. Before an outbreak, health authorities should formulate a plan for EOC operation. The plan serves as a resource manual for EOC staff by detailing its structure, functions, and procedures. At the EOC, staff and scientific experts can monitor outbreak and response activities, keep supplies and equipment before delivery to incident sites, and make decisions about the response.<sup class=""footnote"" data-id=""1"">1</sup> The physical location of an EOC must be selected with this critical operational capacity in mind.</p><p>The EOC can be in a dedicated or multi-purpose space. A multipurpose facility must allow for the prompt vacation of the space and activation of the EOC. Regardless of the facility’s general function, the area must be physically and environmentally secure, and accessible and survivable. Appropriate security measures such as access control systems, barriers, secure areas, and surveillance devices should be set up or available. Concerning accessibility, aspects to consider include parking for private vehicles, security, and proximity to key stakeholders. The space should fulfill basic expectations of disaster survivability due to robust structure, reliable water and food, and an emergency energy source. Backup plans for a space and continuity of activities should be available in the event the EOC becomes unusable.<sup class=""footnote"" data-id=""2"">2</sup></p><p>The location of the EOC should have open common areas and private workspaces, allowing for different types of activities ranging from all-team meetings to conference calls. As well, external venues are important for press communications and coordination of external partners. The space must be large enough for necessary functions to occur. Other amenities to consider for the EOC include adequate sanitary facilities, rest areas, and food options.</p><p>Identification of a physical location for an EOC requires the assessment of the features of the facility, and its survivability, security, sustainability, interoperability, and flexibility.<sup class=""footnote"" data-id=""3"">3</sup> The EOC plan should contain a detailed description of these expectations of the location, allowing stakeholders to ensure that the site will allow necessary functions to occur.</p>"
